borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes
QN,4972,1447,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,947,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721447,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1456,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,953,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721456,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1485,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,2013,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721485,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,6636,1005,408,220.01,2004,28,24,11435,E315,107,2720,4,3E,135-46 GRAND CENTRAL PARKWAY,,,,,,,,,,,,R2,02,0,X,,,717,0,717,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4066361005,,022001,1033619,200223,40.7161048338939,-73.8219099268553,,,406 031,43005,,,,2,20v2,08,45,,,,,,,,,,,,,
QN,6636,1006,408,220.01,2004,28,24,11435,E315,107,2720,4,3E,135-46 GRAND CENTRAL PARKWAY,,,,,,,,,,,,R2,02,0,X,,,761,0,761,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4066361006,,022001,1033619,200223,40.7161048338939,-73.8219099268553,,,406 031,43005,,,,2,20v2,08,45,,,,,,,,,,,,,
QN,6636,1007,408,220.01,2004,28,24,11435,E315,107,2720,4,3E,135-46 GRAND CENTRAL PARKWAY,,,,,,,,,,,,R2,02,0,X,,,637,0,637,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4066361007,,022001,1033619,200223,40.7161048338939,-73.8219099268553,,,406 031,43005,,,,2,20v2,08,45,,,,,,,,,,,,,
MN,1594,1011,110,186,2001,03,9,10026,E058,28,2400,1,1B,10 LENOX AVENUE,,,,,,,,,,,,R4,03,0,X,,,1233,0,1233,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,3,5,0,0,0,0,0,0,,,,0,0,0,1,1015941011,,0186,997613,230200,40.7985116815553,-73.9517356609256,,,107N061,10601,,,,2,20v2,10,11,,,,,,,,,,,,,
QN,72,1013,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,661,0,661,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721013,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,1594,1021,110,186,2001,03,9,10026,E058,28,2400,1,1B,10 LENOX AVENUE,,,,,,,,,,,,R4,03,0,X,,,1169,0,1169,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,3,5,0,0,0,0,0,0,,,,0,0,0,1,1015941021,,0186,997613,230200,40.7985116815553,-73.9517356609256,,,107N061,10601,,,,2,20v2,10,11,,,,,,,,,,,,,
BK,1179,1007,308,215,4000,13,35,11238,E280,77,2720,3,1B,856 WASHINGTON AVENUE,,,,,,,,,,,,R2,02,0,X,,,1471,0,1471,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3011791007,,0215,994481,184291,40.6725070204213,-73.9631175981994,,,306 057,30408,,,,2,20v2,08,36,,,,,,,,,,,,,
QN,72,1021,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,741,67,674,0,0,0,0,0,67,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721021,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,2006,1174,110,228,1000,05,9,10030,E059,32,1000,1,3B,2351 ADAM CLAYTON POWELL JR. BLVD,,,,,,,,,,,,R4,03,0,X,,,155355,0,658,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1020061174,,0228,1000290,236832,40.816710230544,-73.9420510577378,,,111S026,10708,,,,2,20v2,10,11,,,,,,,,,,,,,
QN,4972,1429,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,475,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721429,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
BK,6230,1127,311,268,2003,20,44,11214,L168,62,8300,3,2E,7516 BAY PARKWAY,,,,,,,,,,,,R4,03,0,X,,,537,0,537,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3062301127,,0268,987576,160765,40.6079384787317,-73.9880214816232,,,312 073,31902,,,,2,20v2,11,31,,,,,,,,,,,,,
MN,1072,1236,104,129,2007,02,3,10036,E054,18,4500,1,3B,505 WEST 43RD STREET,,,,,,,,,,,,R4,03,0,X,,,178000,0,506,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,1,1010721236,,0129,985505,216498,40.7609133302487,-73.9954697634924,,,105N040,10405,,,,2,20v2,04,15,,,,,,,,,,,,,
QN,72,1028,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1498,0,1498,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721028,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1029,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,475,0,475,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721029,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1030,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1240,76,1164,0,0,0,0,0,76,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721030,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1033,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,676,0,676,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721033,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1042,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,674,0,674,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721042,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1044,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,703,0,703,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721044,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1045,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1334,67,1267,0,0,0,0,0,67,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721045,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1048,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,751,79,672,0,0,0,0,0,79,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721048,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,405,1044,401,33,2005,30,26,11101,E258,114,710,4,6D,2705 41ST AVENUE,,,,,,,,,,,,R4,03,0,X,,,676,0,676,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4004051044,,0033,1001446,213210,40.7518719765868,-73.9379351551876,,,401 075,40302,,,,2,20v2,01,41,,,,,,,,,,,,,
QN,72,1052,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1240,76,1164,0,0,0,0,0,76,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721052,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1054,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,569,0,569,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721054,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
MN,153,1179,101,31,1017,02,1,10007,E006,5,7700,1,3B,49-51 CHAMBERS STREET,,,,,,,,,,,,R4,03,0,,,,1149,0,1149,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,5,5,9658,191573,0,0,0,0,,,,0,0,0,1,1001531179,,0031,982826,199406,40.7139999954088,-74.0051366663538,,,1,1,,,,2,20v2,01,15,,,,,,,,,,,,,
QN,72,1055,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,676,0,676,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721055,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1059,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,673,0,673,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721059,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1060,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1497,0,1497,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721060,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1061,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,657,67,590,0,0,0,0,0,67,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721061,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1064,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,674,0,674,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721064,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1072,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1498,0,1498,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721072,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1076,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,569,0,569,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721076,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1080,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,661,0,661,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721080,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1083,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,657,67,590,0,0,0,0,0,67,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721083,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1090,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,986,0,986,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721090,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1093,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1075,79,996,0,0,0,0,0,79,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721093,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1094,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1498,0,1498,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721094,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1095,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,475,0,475,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721095,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,72,1139,402,19,1073,30,26,11101,L115,108,720,4,3B,22-18 JACKSON AVE,,,,,,,,,,,,R4,03,0,X,,,1240,76,1164,0,0,0,0,0,76,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4000721139,,0019,998958,210638,40.7448169736303,-73.9469206181361,,,401 021,40102,,,,2,20v2,02,41,,,,,,,,,,,,,
QN,4972,1347,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,1076,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721347,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1349,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,607,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721349,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1352,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,708,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721352,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1355,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,1096,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721355,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1360,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,947,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721360,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
QN,4972,1361,407,871,2007,25,20,11354,L130,109,1200,4,1E,133-27 39TH AVENUE,,,,,,,,,,,,R2,02,0,X,,,442774,0,488,0,0,0,0,0,0,2,,,1,1,,,,,,1,N,0,5,0,0,0,0,0,0,,,,0,0,0,4,4049721361,,0871,1030349,216061,40.7595937860498,-73.8335973219025,,,411 001,42501,,,,2,20v2,07,43,,,,,,,,,,,,,
BK,2375,1032,,,,,,,,,,,,147 HOPE STREET,,,,,,,,,,,,R4,03,0,X,,,46881,0,1440,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023751032,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1645,1202,,,,,,,,,,,,622 MADISON STREET,,,,,,,,,,,,R1,02,0,X,,,3928,0,850,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3016451202,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2375,1035,,,,,,,,,,,,147 HOPE STREET,,,,,,,,,,,,R4,03,0,X,,,46881,0,946,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3023751035,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3435,1019,,,,,,,,,,,,189 COOPER STREET,,,,,,,,,,,,RP,10,0,X,,,10932,,,,,,,,,2,,,0,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034351019,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1309,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071309,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1310,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071310,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1315,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071315,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1316,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071316,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1318,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071318,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1319,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,R2,02,0,X,,,14537,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071319,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1807,1301,,,,,,,,,,,,399 GATES AVE,,,,,,,,,,,,RP,10,0,X,,,14537,,,,,,,,,2,,,0,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018071301,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1808,1204,,,,,,,,,,,,335 NOSTRAND AVENUE,,,,,,,,,,,,R4,03,0,X,,,5735,0,628,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018081204,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1812,1402,,,,,,,,,,,,322 GATES AVENUE,,,,,,,,,,,,RR,04,0,X,,,30539,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3018121402,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1996,1403,,,,,,,,,,,,39 JEFFERSON AVENUE,,,,,,,,,,,,R1,02,0,X,,,2400,0,916,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3019961403,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,1996,1402,,,,,,,,,,,,39 JEFFERSON AVENUE,,,,,,,,,,,,R1,02,0,X,,,2400,0,914,0,0,0,0,0,0,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3019961402,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2110,1005,,,,,,,,,,,,300 ASHLAND PLACE,,,,,,,,,,,,R5,05,0,X,,,433800,32012,0,0,0,0,0,0,32012,2,,,0,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3021101005,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3214,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643214,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3217,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643217,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3223,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,RG,10,0,X,,,40363,,,,,,,,,2,,,0,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643223,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2240,2601,,,,,,,,,,,,58 MIDDLETON STREET,,,,,,,,,,,,R6,02,0,X,,,5000,0,3467,0,0,0,0,0,0,2,,,1,1,,,,,,3,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022402601,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3435,1011,,,,,,,,,,,,189 COOPER STREET,,,,,,,,,,,,R4,03,0,X,,,10932,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034351011,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3204,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643204,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3207,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643207,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3208,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643208,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3209,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643209,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,2264,3210,,,,,,,,,,,,577 FLUSHING AVENUE,,,,,,,,,,,,R4,03,0,X,,,40363,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3022643210,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
BK,3435,1012,,,,,,,,,,,,189 COOPER STREET,,,,,,,,,,,,R4,03,0,X,,,10932,,,,,,,,,2,,,1,1,,,,,,0,N,0,5,0,0,0,0,0,0,,,,0,0,0,3,3034351012,,,,,,,,,,,,,,2,20v2,,,,,,,,,,,,,,,
